date,portfolio_value,num_positions,num_signals,num_entries,num_exits
2026-04-10,99930.44,5,5,5,0
2026-04-10,99930.44,5,0,0,0
2026-04-10,99930.44,5,0,0,0
2026-04-10,99930.44,5,0,0,0
2026-04-13,99382.84,5,0,0,0
2026-04-14,98977.95,5,0,0,0
2026-04-15,99249.61,5,0,0,0
2026-04-16,98722.95,5,0,0,0
2026-04-17,99085.77,5,0,0,0
2026-04-20,99467.91,4,0,0,1
2026-04-21,100154.25,4,0,0,0
2026-04-22,100484.04,6,2,2,0
2026-04-23,101652.2,5,0,0,1
2026-04-24,101961.22,5,0,0,0
2026-04-27,102944.45,6,2,1,0
2026-04-28,101964.75,6,1,1,1
2026-04-29,101307.71,6,0,0,0
2026-04-30,102105.93,6,1,0,0
2026-05-01,103349.13,6,0,0,0
2026-05-04,103560.0,6,2,0,0
2026-05-05,103408.01,6,0,0,0
2026-05-06,105211.73,6,1,0,0
2026-05-07,103593.53,6,1,0,0
